"id:START_ID","id:END_ID"
"3","37"
"3","25"
"3","19"
"3","13"
"3","6"
"51","60"
"51","54"
"68","205"
"68","199"
"68","175"
"68","181"
"68","161"
"68","155"
"68","167"
"68","149"
"68","137"
"68","121"
"68","115"
"68","101"
"68","95"
"68","89"
"68","77"
"68","83"
"68","71"
"213","568"
"213","574"
"213","554"
"213","560"
"213","596"
"213","602"
"213","608"
"213","582"
"213","588"
"213","228"
"213","234"
"213","216"
"213","222"
"213","258"
"213","264"
"213","252"
"213","246"
"213","286"
"213","298"
"213","292"
"213","272"
"213","326"
"213","320"
"213","314"
"213","306"
"213","352"
"213","384"
"213","378"
"213","366"
"213","422"
"213","416"
"213","410"
"213","396"
"213","460"
"213","466"
"213","478"
"213","472"
"213","484"
"213","440"
"213","434"
"213","446"
"213","452"
"213","528"
"213","542"
"213","490"
"213","496"
"213","502"
"213","516"
"621","709"
"621","703"
"621","715"
"621","721"
"621","727"
"621","735"
"621","644"
"621","650"
"621","656"
"621","682"
"621","688"
"621","638"
"621","632"
"621","624"
