"id:ID","position"
"24","FAILURE"
"59","STRAIGHT"
"103","STRAIGHT"
"147","STRAIGHT"
"203","STRAIGHT"
"220","FAILURE"
"252","FAILURE"
"281","FAILURE"
"331","FAILURE"
"381","STRAIGHT"
"407","STRAIGHT"
"421","DIVERGING"
"459","FAILURE"
"473","FAILURE"
"523","DIVERGING"
"537","STRAIGHT"
"583","STRAIGHT"
"609","FAILURE"
"617","DIVERGING"
"643","FAILURE"
"669","STRAIGHT"
"713","DIVERGING"
"745","DIVERGING"
"777","FAILURE"
"815","FAILURE"
"841","STRAIGHT"
"867","FAILURE"
"893","FAILURE"
"919","DIVERGING"
"975","FAILURE"
"1013","FAILURE"
