"id:START_ID","id:END_ID"
"3","18"
"3","12"
"3","6"
"26","197"
"26","179"
"26","185"
"26","191"
"26","167"
"26","173"
"26","155"
"26","149"
"26","161"
"26","135"
"26","141"
"26","123"
"26","129"
"26","111"
"26","117"
"26","105"
"26","97"
"26","91"
"26","85"
"26","73"
"26","79"
"26","67"
"26","61"
"26","53"
"26","47"
"26","41"
"26","35"
"26","29"
"205","240"
"205","246"
"205","234"
"205","214"
"205","208"
"205","228"
"205","222"
"254","369"
"254","375"
"254","383"
"254","389"
"254","429"
"254","441"
"254","435"
"254","447"
"254","453"
"254","401"
"254","409"
"254","415"
"254","423"
"254","493"
"254","499"
"254","505"
"254","511"
"254","461"
"254","467"
"254","475"
"254","481"
"254","487"
"254","531"
"254","525"
"254","517"
"254","263"
"254","275"
"254","269"
"254","257"
"254","301"
"254","295"
"254","289"
"254","283"
"254","333"
"254","325"
"254","319"
"254","307"
"254","313"
"254","363"
"254","357"
"254","351"
"254","345"
"254","339"
"254","395"
"538","715"
"538","721"
"538","733"
"538","727"
"538","739"
"538","747"
"538","753"
"538","759"
"538","771"
"538","765"
"538","657"
"538","663"
"538","671"
"538","677"
"538","683"
"538","689"
"538","695"
"538","701"
"538","707"
"538","603"
"538","597"
"538","591"
"538","619"
"538","611"
"538","631"
"538","625"
"538","651"
"538","645"
"538","637"
"538","541"
"538","559"
"538","547"
"538","553"
"538","843"
"538","835"
"538","861"
"538","855"
"538","849"
"538","875"
"538","869"
"538","887"
"538","881"
"538","785"
"538","779"
"538","797"
"538","791"
"538","817"
"538","803"
"538","809"
"538","829"
"538","823"
"538","957"
"538","963"
"538","969"
"538","977"
"538","989"
"538","983"
"538","995"
"538","1001"
"538","1007"
"538","895"
"538","901"
"538","907"
"538","913"
"538","921"
"538","927"
"538","933"
"538","939"
"538","945"
"538","951"
"538","577"
"538","585"
"538","565"
"538","571"
