":START_ID",":END_ID"
"47","4"
"70","51"
"108","71"
"134","109"
"148","135"
"186","149"
"242","187"
"268","243"
"318","269"
"345","319"
"353","346"
"373","354"
"405","374"
"443","406"
"469","444"
"489","470"
"548","493"
"599","549"
"637","600"
"688","638"
"732","689"
"764","733"
"790","765"
"846","791"
"854","847"
"904","855"
"924","905"
"983","928"
"1021","984"
"1029","1022"
"1073","1030"
"1118","1074"
"1145","1119"
"1165","1146"
"1199","1166"
"1237","1200"
"1293","1238"
"1344","1294"
"1384","1347"
"1416","1385"
