"id:ID","currentPosition"
"5","FAILURE"
"28","STRAIGHT"
"60","STRAIGHT"
"104","STRAIGHT"
"148","STRAIGHT"
"207","FAILURE"
"221","FAILURE"
"256","FAILURE"
"282","FAILURE"
"332","STRAIGHT"
"382","STRAIGHT"
"408","DIVERGING"
"422","FAILURE"
"460","FAILURE"
"474","DIVERGING"
"524","STRAIGHT"
"540","STRAIGHT"
"584","FAILURE"
"610","DIVERGING"
"618","FAILURE"
"644","STRAIGHT"
"670","DIVERGING"
"714","DIVERGING"
"746","FAILURE"
"778","FAILURE"
"816","STRAIGHT"
"842","FAILURE"
"868","FAILURE"
"894","DIVERGING"
"920","FAILURE"
"976","FAILURE"
