"id:ID","currentPosition"
"5","FAILURE"
"28","STRAIGHT"
"60","STRAIGHT"
"105","DIVERGING"
"113","FAILURE"
"156","DIVERGING"
"170","FAILURE"
"196","FAILURE"
"241","FAILURE"
"267","FAILURE"
"317","FAILURE"
"358","FAILURE"
"415","STRAIGHT"
"459","STRAIGHT"
"503","FAILURE"
"547","DIVERGING"
"561","FAILURE"
"569","DIVERGING"
"626","FAILURE"
"677","FAILURE"
"697","STRAIGHT"
"711","DIVERGING"
"731","STRAIGHT"
"751","FAILURE"
"773","STRAIGHT"
"823","FAILURE"
"855","STRAIGHT"
"899","STRAIGHT"
"950","STRAIGHT"
"994","FAILURE"
"1038","FAILURE"
"1076","FAILURE"
"1132","FAILURE"
