"id:ID","position"
"24","FAILURE"
"59","STRAIGHT"
"104","STRAIGHT"
"112","DIVERGING"
"152","DIVERGING"
"169","DIVERGING"
"195","DIVERGING"
"240","FAILURE"
"266","FAILURE"
"316","FAILURE"
"354","FAILURE"
"414","FAILURE"
"458","STRAIGHT"
"502","STRAIGHT"
"546","FAILURE"
"560","DIVERGING"
"568","FAILURE"
"625","DIVERGING"
"676","FAILURE"
"696","FAILURE"
"710","STRAIGHT"
"730","FAILURE"
"750","STRAIGHT"
"770","FAILURE"
"822","STRAIGHT"
"854","FAILURE"
"898","STRAIGHT"
"949","STRAIGHT"
"993","STRAIGHT"
"1037","FAILURE"
"1075","FAILURE"
"1131","FAILURE"
"1151","FAILURE"
