"id:START_ID","id:END_ID"
"3","18"
"3","12"
"3","6"
"26","138"
"26","145"
"26","126"
"26","120"
"26","132"
"26","114"
"26","106"
"26","98"
"26","86"
"26","74"
"26","80"
"26","67"
"26","61"
"26","53"
"26","47"
"26","41"
"26","35"
"26","29"
"154","318"
"154","324"
"154","336"
"154","330"
"154","342"
"154","298"
"154","286"
"154","310"
"154","304"
"154","268"
"154","254"
"154","260"
"154","280"
"154","274"
"154","234"
"154","228"
"154","248"
"154","242"
"154","203"
"154","197"
"154","221"
"154","215"
"154","209"
"154","183"
"154","189"
"154","171"
"154","177"
"154","157"
"154","163"
"356","724"
"356","732"
"356","738"
"356","744"
"356","752"
"356","758"
"356","764"
"356","670"
"356","663"
"356","690"
"356","684"
"356","678"
"356","704"
"356","698"
"356","718"
"356","712"
"356","612"
"356","606"
"356","627"
"356","618"
"356","359"
"356","395"
"356","401"
"356","408"
"356","416"
"356","365"
"356","371"
"356","383"
"356","377"
"356","389"
"356","452"
"356","460"
"356","466"
"356","472"
"356","478"
"356","422"
"356","428"
"356","434"
"356","440"
"356","446"
"356","522"
"356","516"
"356","540"
"356","534"
"356","528"
"356","490"
"356","484"
"356","504"
"356","496"
"356","582"
"356","576"
"356","600"
"356","588"
"356","594"
"356","554"
"356","548"
"356","570"
"356","562"
"356","651"
"356","657"
"356","639"
"356","633"
"356","645"
"771","1089"
"771","1083"
"771","1107"
"771","1101"
"771","1095"
"771","1063"
"771","1057"
"771","1051"
"771","1077"
"771","1069"
"771","1139"
"771","1145"
"771","1119"
"771","1113"
"771","1133"
"771","774"
"771","786"
"771","780"
"771","804"
"771","798"
"771","792"
"771","874"
"771","868"
"771","880"
"771","886"
"771","892"
"771","900"
"771","906"
"771","918"
"771","912"
"771","925"
"771","810"
"771","816"
"771","824"
"771","830"
"771","836"
"771","842"
"771","848"
"771","856"
"771","862"
"771","1007"
"771","1001"
"771","995"
"771","1045"
"771","1039"
"771","1031"
"771","1025"
"771","1019"
"771","951"
"771","957"
"771","937"
"771","931"
"771","987"
"771","975"
"771","969"
"771","963"
"771","1125"
